artist,title,year,country,format,label,discogs_low_price,copies_for_sale_on_discogs,status
The Business,Keep The Faith,1994,Germany,"Vinyl, LP, Album",Century Media – 77083-1,28.72,6,Recently Edited
Bovver Wonderland,Bovver Wonderland,1996,US,"Vinyl, LP, Album","Vulture Rock Records – VOLT-14 LP, Vulture Rock Records – VOLT-14 EP.",34.37,1,New Submission
The Oppressed,Dead & Buried And Fatal Blow,1996,UK,"Vinyl, LP, Compilation",Captain Oi! – Ahoy LP 42,40.53,1,Recently Edited
The Oppressed,Fight For Your Life - The Best Of The Oppressed,1996,UK,"Vinyl, LP, Compilation | Vinyl, 7"", Single",Dojo Limited – DOJO LP 227,12.68,3,Recently Edited
Various,I.R.S. Greatest Hits Vols. 2 & 3,1981,US,"2 x Vinyl, LP, Compilation, Stereo Gatefold",I.R.S. Records – SP 70800,9.98,29,New Submission
The Murder City Devils*,In Name And Blood,2000,US,"Vinyl, LP, Album",Sub Pop – SP 497,35.21,8,New Submission
Various,Blood Red Battle Royale,1998,US,"Vinyl, LP, Compilation Grey",Blood Red Vinyl & Discs – BRLP12007,17.24,8,Recently Edited
The Lords Of The New Church*,Is Nothing Sacred?,1983,US,"Vinyl, LP, Album Monarch Pressing","I.R.S. Records – SP70039, I.R.S. Records – SP-70039",11.49,7,Recently Edited
Various,Repo Man (Music From The Original Motion Picture Soundtrack),1984,US,"Vinyl, LP, Album Gloversville Pressing","San Andreas Records – SAR 39019, San Andreas Records – SAR-39019",26.43,30,Recently Edited
Misfits,Live Night Of The Living Dead!,1987,US,"Vinyl, LP, Unofficial Release, Limited Edition",Not On Label (Misfits) – MAD 01,,,New Submission
Various,Beserkley Chartbusters Volume 1,1975,US,"Vinyl, LP, Compilation",Beserkley – BZ-0044,3.45,30,
D.O.A. (2),True (North) Strong & Free,1987,US,"Vinyl, LP, Album","Profile Records – PRO-1228, Rock Hotel Records – PRO-1228",8.00,17,New Submission
Cockney Rejects,Greatest Hits Vol. 1,1993,UK,"Vinyl, LP, Album, Reissue | Vinyl, 7"", Single | All Media, Limited Edition",Dojo Limited – DOJO LP 136,19.54,3,New Submission
Cock Sparrer,Rumours Carry More Weight Than Fact (The Best Of Cock Sparrer),1996,UK,"Vinyl, LP, Compilation, Reissue Red",Step-1 Music – STEP LP 014,114.94,1,New Submission
The Last Resort,A Way Of Life - Skinhead Anthems,1996,UK,"Vinyl, LP, Album, Reissue",Captain Oi! – AHOY LP 1,22.87,7,New Submission
The Bruisers*,In The Pit - Live & Rare,2000,US,"Vinyl, LP, Compilation Orange Clear",TKO Records – TKO ROUND 45,22.00,4,Recently Edited
The Unruly,The Unruly,1998,US,"Vinyl, LP, Album",Vulture Rock Records – VOLT-37,36.78,3,Recently Edited
The Business,The Truth The Whole Truth And Nothing But The Truth,1997,US,"Vinyl, LP, Album Gatefold",Taang! Records – TAANG 115,25.99,3,New Submission
Argy Bargy,"Drink, Drugs And Football Thugs.",1996,UK,"Vinyl, LP, Album, Limited Edition Red",Step-1 Music – STEP LP 057,20.27,10,New Submission
Boot Party,Bricks To Concrete,1997,US,"Vinyl, LP, Album",Vulture Rock Records – VOLT-24,,,Recently Edited
Simaryp*,Skinhead Moonstomp (The Album),1980,UK,"Vinyl, LP, Album, Reissue, Mono",Trojan Records – TRLS 187,18.97,16,Recently Edited
Dropkick Murphys,Do Or Die,1998,US,"Vinyl, LP, Album, Stereo",Hellcat Records – 80407-1,35.34,5,
Ramones,"Live At The Roxy August 12, 1976",2016,US,"Vinyl, LP, Record Store Day, Limited Edition, Numbered 180g","Sire – R1 555357, Rhino Records (2) – 081227945169",30.00,17,New Submission
The Special A.K.A.* Featuring Rico*,Too Much Too Young,1980,Germany,"Vinyl, 12"", Maxi-Single, Stereo",Chrysalis – 9198 713,8.62,15,Recently Edited
Slaughter & The Dogs*,Rabid Dogs,1989,UK,"Vinyl, LP, Reissue",Receiver Records Limited – RRLP109,11.38,15,New Submission
Sex Pistols,We've Cum For Your Children (Wanted: The Goodman Tapes),1988,US,"Vinyl, LP, Compilation",Skyclad Records – (sick) SEX 6,7.94,43,New Submission
Angelic Upstarts,Live In Yugoslavia,1985,UK,"Vinyl, LP, Album","Hard Court – HCLP 002 M, Picasso – HCLP 002 M",10.71,8,Recently Edited
Various,Flipside Vinyl Fanzine Vol. 1,1984,US,"Vinyl, LP, Compilation",Gasatanka Records – E-1099,28.74,2,New Submission
Cut Throat (5),Dirty Byrd,1998,Germany,"Vinyl, LP, Album",Knock Out Records – KOLP085,7.66,10,
Circle Jerks,Wild In The Streets,1988,US,"Vinyl, LP, Album, Reissue",Frontier Records – FLP 1029,17.61,26,New Submission
The Suicide Commandos,Time Bomb,2017,US,"Vinyl, LP, Album",Twin/Tone Records – TTR 89403,13.12,6,New Submission
X (10),Aspirations,2014,Canada,"Vinyl, LP, Album, Reissue",Ugly Pop Records – UP054,25.00,5,Recently Edited
X (10),X-Spurts (The 1977 Recordings),2014,Canada,"Vinyl, LP, Album",Ugly Pop Records – UP053,17.50,7,New Submission
Charged G.B.H*,"Leather, Bristles, Studs And Acne.",1990,UK,"Vinyl, LP, Album, Reissue",Clay Records – PLATE 3,28.74,6,Recently Edited
Duane Peters And The Hunns,Tickets To Heaven,2001,US,"Vinyl, LP, Album Red","Disaster Records (2) – DISASTER 9005-1, Disaster Records (2) – DSR 9005-1",40.23,6,Recently Edited
Blitz (3),All Out Attack,1997,Italy,"Vinyl, LP, Compilation Beige Label",Get Back – GET 14,9.51,7,New Submission
Klasse Kriminale,Faccia A Faccia,1996,Germany,"Vinyl, LP, Album, Picture Disc, Reissue",Knock Out Records – KOPicLP024,11.49,8,Recently Edited
Devo,Q: Are We Not Men? A: We Are Devo!,1979,UK,"Vinyl, LP, Album, Picture Disc, Stereo | Flexi-disc, 7"", 33 ⅓ RPM, Single Sided",Virgin – VP2106,3.89,74,Recently Edited
The Queers,Grow Up,1994,US,"Vinyl, LP, Album, Reissue",Lookout! Records – Lookout 0090,28.74,8,Recently Edited
The Queers,Love Songs For The Retarded,2009,US,"Vinyl, LP, Album, Reissue",Recess Records (2) – Recess#107,,,Recently Edited
Condemned 84,Face The Aggression,1997,UK,"Vinyl, LP, Album, Reissue",84 Records – HARD LP 1,,,
Slade,Slayed?,1973,US,"Vinyl, LP, Album, Stereo All Disc Press","Polydor – PD 5524, Polydor – 2383 163",1.00,95,Needs Changes
The Glory Stompers / The Templars,The Glory Stompers / The Templars,1996,Germany,"Vinyl, 12"", 45 RPM",Knock Out Records – KOMLP 040,29.41,6,Recently Edited
The Templars,Dans Les Catacombs Du Studio De L'Acre 1993-1995,1997,US,"Vinyl, LP, Compilation","Vulture Rock Records – VOLT-32 LP, Vulture Rock Records – VOLT-32LP",56.90,4,New Submission
Templars*,Phase II,1998,US,"Vinyl, LP, Album, Stereo","Vulture Rock Records – VOLT-36, Vulture Rock Records – VOLT-36LP",86.21,1,New Submission
Condemned 84,Battle Scarred,1996,UK,"Vinyl, LP, Album, Reissue White",Streetpunk Records – SPLP 2001,30.00,4,Recently Edited
Generation X (4),Generation X,1984,US,"Vinyl, LP, Album, Reissue",Chrysalis – PV 41169,13.00,14,Recently Edited
Oxblood,Crime Stories,1998,US,"Vinyl, LP, Album","Punkcore Records – PUNK CORE LP 02, Punkcore Records – PCLP 02",60.00,2,Recently Edited
Pist-N-Broke*,American Drinking Songs,1995,US,"Vinyl, 12"", 45 RPM, EP, Stereo","Vulture Rock Records – VOLT-12, Vulture Rock Records – VOLT EP-11, Vulture Rock Records – VOLT 12 EP, Vulture Rock Records – VOLT EP NO.12",24.32,2,New Submission
Gundog,A Dog's Eye View,2000,UK,"Vinyl, LP, Album",New Blood Records – NEWBLOOD05,7.00,3,Recently Edited
Hard Skin (2),Hard Nuts And Hard Cunts,1998,US,"Vinyl, LP, Album, Picture Disc",Broken Rekids – SKIP 67,10.65,7,Recently Edited
Midnite Snaxxx,Chew On This!,2017,US,"Vinyl, 12"", 45 RPM, Album",Pelican Pow Wow – PPW-019,15.00,3,New Submission
Special Duties,'77 In '82,1996,UK,"Vinyl, LP, Album, Reissue Blue",Captain Oi! – AHOY LP 35,25.23,4,New Submission
Major Accident,Clockwork Heroes,1998,UK,"Vinyl, LP, Compilation, Limited Edition White",Captain Oi! – AHOY LP 16,17.24,1,New Submission
Infa-Riot*,Still Out Of Order,1997,UK,"Vinyl, LP, Album, Reissue",Captain Oi! – AHOY LP 10,19.77,2,
Fear (3),The Record,1982,US,"Vinyl, LP, Album",Slash – SR-111,24.00,32,New Submission
Abrasive Wheels,When The Punks Go Marching In,1997,Italy,"Vinyl, LP, Album, Reissue, Stereo",Get Back – GET17,3.45,8,New Submission
Sheer Terror,Love Songs For The Unloved,1995,US,"Vinyl, LP, Album",Blackout! Records – BLK-23,54.95,7,Recently Edited
The Warriors (7),The Full Monty,1996,UK,"Vinyl, LP, Album, Limited Edition, Numbered",Step-1 Music – STEP LP 83,11.41,4,Recently Edited
Various,Chaos En France - Volume 2,1998,Europe,"Vinyl, LP, Compilation, Reissue, Unofficial Release",Chaos Productions (5) – CHAOS 02,45.98,1,
Combat 84 / The Last Resort,Death Or Glory,1996,UK,"Vinyl, LP, Album, Reissue Blue Translucent",Step-1 Music – STEP LP 25,22.00,5,Recently Edited
4 Skins,A Few 4 Skins More Volume 1,1987,UK,"2 x Vinyl, LP, Compilation Blue Labels",Link Records (4) – LINK LP 015,20.27,7,Recently Edited
The 4 Skins*,The Best Of The 4 Skins,1996,UK,"Vinyl, LP | Vinyl, 7"" | All Media, Compilation, Reissue",Dojo – DOJO LP 140,24.09,2,Recently Edited
4 Skins,A Few 4 Skins More Volume 2,1987,UK,"2 x Vinyl, LP, Compilation, Repress Black Labels","Link Records (4) – LINK LP 021, Link Records (4) – LINK L.P. 021",22.82,6,
The 4 Skins*,"The Good, The Bad & The 4 Skins",1996,UK,"Vinyl, LP, Album, Reissue",Captain Oi! – AHOY LP 03,28.74,4,Recently Edited
Condemned 84,Blood On Yer Face,1999,UK,"Vinyl, LP, Album",RnB Recordings – LPRNB003,66.67,5,Recently Edited
Condemned 84,Amongst The Thugs,1995,UK,"Vinyl, LP, Album",Hammer Records (4) – HR10,33.77,7,New Submission
Various,Back To Front Vol.5 (Rare Punkrock 1977-'82),1994,Germany,"Vinyl, LP, Compilation, Limited Edition, Numbered",Incognito Records (4) – INC.064,33.33,6,New Submission
Various,Killed By Deathrock - Volume Two,2016,US,"Vinyl, LP, Compilation",Sacred Bones Records – SBR-3019,39.29,3,Recently Edited
The Templars,1118 - 1312,1998,US,"Vinyl, 10"", 33 ⅓ RPM, Mini-Album, Limited Edition","Do A Runner! Recordings – JOG001, Go-Kart Records – GK CD 0027",5.00,2,New Submission
Templars*,Biaus Seignors Freres,2000,US,"Vinyl, 10"", 45 RPM, Compilation Gold","TKO Records – TKOROUND 53, Templecombe – 671",116.22,2,New Submission
The Neckbones,Gentlemen,1999,US,"Vinyl, 10""",Misprint Records – msp-0060,4.59,7,Recently Edited
River City Rapists,Feelin' Groovy,1999,US,"Vinyl, 10"", 33 ⅓ RPM Pink",Man's Ruin Records – MR 150,21.49,1,New Submission
Avengers,We Are The One,,US,"Vinyl, 7"", 45 RPM, EP, Reissue, Repress, Unofficial Release",Dangerhouse (2) – SFD-400,,,Recently Edited
U.K. Subs*,Party In Paris,1980,UK,"Vinyl, 7"", 45 RPM, Single Orange","GEM (2) – GEMS 42, GEM (2) – PB 9611",3.38,82,New Submission
Midnite Snaxxx,Don't Wake Me Up,2015,US,"Vinyl, 7"", 45 RPM, Single",Total Punk – TPR-28,5.98,2,Recently Edited
Screeching Weasel,Punkhouse,1993,US,"Vinyl, 7"", EP, Reissue",Selfless Records – SFLS18,20.92,21,New Submission
Various,Music From The Film The Ungovernable Force,2017,,"Vinyl, 7"", 33 ⅓ RPM, Compilation",Brink Music – BMUS0903,14.00,4,Recently Edited
Rancid,Radio Radio Radio,1993,US,"Vinyl, 7"", 45 RPM, EP",Fat Wreck Chords – FAT509,5.69,26,Recently Edited
Rancid,Rancid,1992,US,"Vinyl, 7"", 33 ⅓ RPM",Lookout! Records – Lookout 059,22.50,8,Recently Edited
Rancid,Time Bomb,1995,US,"Vinyl, 7"", Single",Epitaph – 86455-7,30.00,17,New Submission
The Bruisers*,Gates Of Hell,1994,France,"Vinyl, 7"", 45 RPM Orange Clear","Bird Records (2) – BR 006, Bird Records (2) – Bird Records 006",45.98,1,Recently Edited
The Only Ones,"Another Girl, Another Planet",1978,UK,"Vinyl, 7"", 45 RPM, Single, Stereo Paper Labels","CBS – S CBS 6228, CBS – 6228",64.84,9,Recently Edited
Minor Threat,First Demo Tape,2003,US,"Vinyl, 7"", 45 RPM, EP",Dischord Records – DIS 140 V,13.79,7,New Submission
Crowbar (4),Hippie Punks,1993,Germany,"Vinyl, 7"", 45 RPM, Single, Reissue, Unofficial Release Red Clear",Skin Head Records (2) – SKIN 1,,,Recently Edited
The Music Explosion,I See The Light / Little Bit O'Soul,1967,US,"Vinyl, 7"", 45 RPM, Single, Styrene Terre Haute Pressing",Laurie Records – LR 3380,0.01,124,New Submission
Otis* & Carla*,Tramp,1968,US,"Vinyl, 7"", 45 RPM, Single, Reissue",Stax – S-216,6.99,1,New Submission
Ruby Johnson,Callin' All Boys / Pleadin' Heart,1961,US,"Vinyl, 7"", 45 RPM, Single",V-Tone Records (2) – 222,36.00,10,New Submission
Ruby Johnson,Here I Go Again,1965,US,"Vinyl, 7"", 45 RPM, Single",Neb's – 505,21.84,3,New Submission
Ruby Johnson,Why Do You Want To Leave Me / Nobody Care,,US,"Vinyl, 7"", 45 RPM",Neb's – 600,2.00,4,New Submission
Patriot (2) / Fatskins,Patriot / Fatskins,1998,US,"Vinyl, 7"", EP, 33 ⅓ RPM",90 Proof Records – 90-2EP,14.00,4,New Submission
Frijid Pink,House Of The Rising Sun,1970,US,"Vinyl, 7"", 45 RPM, Single, Styrene",Parrot – 45-341,0.29,78,Recently Edited
Dow Jones And The Industrials,Let's Go Steady,2011,US,"Vinyl, 7"", 45 RPM, Limited Edition, Reissue","Hardly Music – HM000002R, Family Vineyard – FV70",24.99,8,
The Templars,La Noche De Los Gaviotas,1997,US,"Vinyl, 7"", 45 RPM, EP","Headache Records – HR#41, Headache Records – H.R.#41",47.30,3,Recently Edited
West Side Boys,Hooligans,1991,France,"Vinyl, 7"", 45 RPM, Single",Lion Records (6) – LR450191,57.47,1,Recently Edited
Randoms,A B C D B/W Let's Get Rid Of New York,,US,"Vinyl, 7"", 45 RPM, Single, Limited Edition, Reissue, Unofficial Release",Dangerhouse (2) – PT-1,,,
Bags*,Survive,2016,Spain,"Vinyl, 7"", 45 RPM, Single, Reissue, Repress","Dangerhouse – BAG 200, Dangerhouse – BAG 199, Munster Records – MR 7294",38.73,1,New Submission
The Plain Dealers,Terminal Darkness On Public Square,2013,US,"Vinyl, 7"", 33 ⅓ RPM",Public Square Records – PSR004,19.32,1,New Submission
Pist 'N' Broke*,A New Day,1994,US,"Vinyl, 7"", 45 RPM",Sonic Aggression Records – SA-006,45.98,3,Recently Edited
Blitz (3),New Age,1983,UK,"Vinyl, 7"", 45 RPM, Single","Future Records (4) – FS 1, Future Records (4) – FS1",40.53,8,
Spelling Mistakes*,Feel So Good,2012,US,"Vinyl, 45 RPM, 7"", Single, Reissue",Sing Sing Records (3) – SING042,22.00,5,
Swingin' Utters / UK Subs,Split Vision Volume One,1994,US,"Vinyl, 7"" Pink",New Red Archives – NRA44,40.00,1,Recently Edited
Blitz (3),Propaganda / Moscow,1982,UK,"Flexi-disc, 7"", 33 ⅓ RPM, Shape, Single Sided",Masterbag – BAG 008,5.75,8,Recently Edited
Gundog,Power,1997,UK,"Vinyl, 7"", 33 ⅓ RPM, EP, White Label",New Blood Records – NEW BLOOD 01,,,New Submission
The Warriors (7),Made In England,1999,Italy,"Vinyl, 7"", 33 ⅓ RPM",Durango 95 Records – none,10.00,7,Recently Edited
Snapcase,Steps,1995,US,"Vinyl, 7"", 33 ⅓ RPM",Victory Records – VR 24,10.34,6,Recently Edited
The Business / The Gonads / Blitz (3) / Dead Generation,Total Noise #1,1982,UK,"Vinyl, 7"", 33 ⅓ RPM, 45 RPM, EP",Total Noise – TOT 1,6.76,25,
The Twinkles,Dancing With The Pogo Kids,1999,Italy,"Vinyl, 7"", Single, 45 RPM",Soda Pressing Records – SODA 1,2.30,11,New Submission
Various,Special Rockin' The Streets Promo EP,1998,Canada,"Vinyl, 7"", EP, 33 ⅓ RPM, Promo Red","Longshot Music – LS702, DSS Records – none",4.60,11,New Submission
The Stouts,1999 Demo,1999,US,Cassette,Not On Label – none,,,Recently Edited
Returnaround,Babies With Rabies,1995,US,"Vinyl, 7"" Clear",Not On Label – none,15.00,1,New Submission
Time Has Come (2),Devoted To Nothing,1999,US,"Vinyl, 7"", Limited Edition, EP",CI Records – CI022.5,5.00,7,New Submission
Violent Affray,Lets Av It,1999,UK,"Vinyl, 7"", 45 RPM, EP, White Label",New Blood Records – NEW BLOOD 03,3.00,14,Recently Edited
The Carpettes,Small Wonder?,2006,Germany,"Vinyl, 7"", 45 RPM, Reissue",Last Year's Youth Records – LAST 18,22.00,2,New Submission
The Ugly Truth,Fall,1994,US,"Vinyl, 7""",Stillborn Records – SB 004,2.98,10,Recently Edited
Demob,No Room For You,1981,UK,"Vinyl, 7""",Round Ear Records – EAR 3,54.81,2,Recently Edited
The Bruisers*,Intimidation,1991,US,"Vinyl, 7"", 45 RPM, Reissue","Sonic Aggression Records – SA-001-07, Sonic Aggression Records – SA-1",100.00,1,Recently Edited
The Bruisers*,American Night,1992,US,"Vinyl, 7"", 45 RPM",Nirvana Records – NR-103,,,New Submission
Hitler SS / Tampax,Hitler SS / Tampax,2010,,"Vinyl, 7"", 33 ⅓ RPM, EP, Limited Edition, Reissue, Unofficial Release, White Label Stamped",Compact Cassette Records (2) – none,,,
Defnics,Look At Me Mom I'm Not Dead,2001,US,"Vinyl, 7"", 45 RPM Red",Smog Veil Records – SV30,2.94,13,
The Templars,Clockwork Orange Horror Show,1995,US,"2 x Vinyl, 7"", 45 RPM, EP, Stereo Gatefold","Vulture Rock Records – VOLT EP 11, Vulture Rock Records – VOLT 11EP, Vulture Rock Records – VOLT EP-11",171.26,3,New Submission
Ruby Johnson,Come To Me My Darling / When My Love Comes Down,1966,US,"Vinyl, 7"", 45 RPM, Single",Volt – 45-140,4.05,10,Recently Edited
The Hombres,Let It Out (Let It All Hang Out),1967,US,"Vinyl, 7"", 45 RPM, Single",Verve Forecast – KF 5058,0.50,73,New Submission
James Carr,You've Got My Mind Messed Up  / That's What I Want To Know,1966,US,"Vinyl, 7"", 45 RPM",Goldwax Records – 302,1.99,18,New Submission
Last Call (4),Last Call,,US,"Vinyl, 7"", 33 ⅓ RPM",GMM Records – GMM 130,5.93,4,New Submission
Ruby Johnson,I'll Run Your Hurt Away / Weak Spot,1966,US,"Vinyl, 7"", 45 RPM, Single",Volt – V - 133,5.00,9,Recently Edited
Otis* & Carla*,Tramp / Tell It Like It Is,1967,US,"Vinyl, 7"", 45 RPM, Single Plastic Products Pressing",Stax – 45-216,2.45,32,Recently Edited
Willie Hobbs,Do Your Own Thing / I Know I'm Gonna Miss You,1972,US,"Vinyl, 7"", 45 RPM, Mono",Seventy Seven Records – 77-108,2.70,23,Recently Edited
Toots And The Maytals*,Louie Louie / Pressure Drop '72,1972,UK,"Vinyl, 7"", 45 RPM, Single, Promo Knock-Out Centre",Trojan Records – TR-7865,,,New Submission
Alton & The Flames* / Baba Brooks,Cry Tough / Spit Fire,,Jamaica,"Vinyl, 7""",Treasure Isle – none,9.51,3,Recently Edited
The Replacements / Midnight Oil,"Another Girl, Another Planet / Stand In Line",1990,US,"Flexi-disc, 7"", 33 ⅓ RPM, Promo, Stereo","The Bob Magazine – 40, Eva-Tone Soundsheets – 106875-1S",3.50,9,
The Clash,Complete Control,1977,UK,"Vinyl, 7"", 45 RPM, Single, Stereo Copyright Control","CBS – S CBS 5664, CBS – CBS 5664",5.64,25,Recently Edited
The Chronics (2),"First Time, Best Time / Go On",1999,US,"Vinyl, 7"", Single Sided, 45 RPM",Rip Off Records (2) – R.O. #037,3.00,12,Recently Edited
The Oppressed,Fatal Blow,,,"Vinyl, 7"", 45 RPM, Unofficial Release, White Label",Not On Label (The Oppressed) – none,,,Recently Edited
The Bruisers*,Clobberin' Time,1996,France,"Vinyl, 7"", 33 ⅓ RPM, EP",Bird Records (2) – BR 007,,,Recently Edited
Spys (3),The Young Ones,1979,UK,"Vinyl, 7"", 45 RPM, Single","Virgin – N.B.3., Virgin – NB 3",1.00,31,Recently Edited
Anti-Heros / Blanks 77,Truck Stop Toilet,1997,US,"Vinyl, 7"", 33 ⅓ RPM","Taang! Records – TAANG! 138-7, Radical Records – TAANG! 138-7",12.63,6,Recently Edited
Misfits,Evil Is As Evil Does,2006,US,"Vinyl, 7"", Reissue, Unofficial Release Orange label",Plan 69 – none,24.09,1,New Submission
The Warriors (7),Come Out To Play,1996,UK,"Vinyl, 7"", 45 RPM",Visionary Vinyl – V707,8.00,5,New Submission
Sham 69,That's Life,1996,UK,"Vinyl, LP, Album, Limited Edition, Reissue | Vinyl, 7"", Single",Dojo Limited – DOJO LP 257,22.13,4,New Submission
The Woggles,Return To Blood Beach,1994,Japan,"Vinyl, 7"", 45 RPM",Wallabies Records – WAL-003,6.34,12,Recently Edited
Buck Biloxi And The Fucks,Obama Is A Cyborg,2016,Germany,"Vinyl, 7"", 45 RPM","Red Lounge Records – RLR 117, Secret Identity Records – RLR 117",5.75,2,Recently Edited
Nots,Cold Line / TV OD,2016,US,"Vinyl, 7"", 45 RPM, Single",Goner Records – 132GONE,4.48,4,Recently Edited
D.O.A. (2),Fucked Up Donald,2016,Canada,"Vinyl, 7"", 45 RPM, Single",Sudden Death Records – SDR-0114,5.75,7,Recently Edited
Templars* / 90 Proof,Templars / 90 Proof,1996,US,"Vinyl, 7"", EP, 33 ⅓ RPM",90 Proof Records – 90-1 EP,40.00,3,New Submission
The Queers / Antagonizers ATL,Beyond The Dirty South Valley,2015,US,"Vinyl, 7"", 33 ⅓ RPM, Limited Edition, Numbered Blue",Sexy Baby Records – SBR-1033,8.00,1,New Submission
Lager Lads* / Infiltrators (2) / The Wretched Ones / The Krays (2),Oink! Skinzine # 5,1998,US,"Vinyl, 7"", 33 ⅓ RPM, Limited Edition Gray Marbled",Oink! – Oink-002,6.00,4,Recently Edited
The Templars / Bottom Of The Barrel,Oink! Skinzine # 4,1997,US,"Vinyl, 7"", 45 RPM, Single Gray Marbled",Oink! – none,25.29,2,Recently Edited
4 Skins,One Law For Them,1996,UK,"Vinyl, 7"", 45 RPM, Single, Reissue",Visionary Vinyl – V712,11.95,3,New Submission
Klasse Kriminale,1985-'95 Orgoglio Per Le Tue Passioni,1995,Germany,"Vinyl, 7"", 45 RPM, EP | Vinyl, 7"", 45 RPM, EP",Knock Out Records – KOEP020,16.08,11,
Screeching Weasel,Jesus Hates You,1999,US,"Vinyl, 7"", 45 RPM, EP, Picture Disc",Probe Records (2) – Pr23,19.00,20,Recently Edited
Sweet Tea (2) / Wendy Rene,After Laughter (Comes Tears),2012,US,"Vinyl, 7"", 45 RPM, Single, Limited Edition Purple",Light In The Attic – LITA 45-022,130.00,3,Recently Edited
The Trouble,Crime And Punishment,1997,US,"Vinyl, 7"", 33 ⅓ RPM, EP Blue Clear",GMM Records – 131,45.98,2,Recently Edited
The Queers,Too Dumb To Quit!,1994,US,"Vinyl, 7"", 45 RPM, Reissue","Selfless Records – SFLS-27, Selfless Records – SELFLESS 27",8.95,5,Recently Edited
Sex Pistols,God Save The Queen,1977,UK,"Vinyl, 7"", 45 RPM, Single, Stereo Silver/Silver Label Text",Virgin – VS 181,2.69,131,
Sex Pistols,Anarchy In The U.K,1977,France,"Vinyl, 7"", 45 RPM, Single EA code",Sex Pistols – 640 112,2.30,72,New Submission
The Pagans*,Six And Change,2017,France,"Vinyl, 7"", 45 RPM, Single, Limited Edition, Reissue, Remastered",Danger Records (11) – DR-028,7.93,9,Recently Edited
Razar,Stamp Out Disco / Task Force (Undercover Cops),2012,US,"Vinyl, 7"", 45 RPM, Single, Reissue",Sing Sing Records (3) – SING-047,68.97,1,
Briard,Fuck The Army,2010,Finland,"Vinyl, 7"", 45 RPM, Single, Reissue",Combat Rock Industry – CRI 079,16.50,4,
Hubble Bubble,Faking,2007,US,"Vinyl, LP, Album, Reissue","Radio Heartbeat – RH-103, Daggerman Records – DMR-006",2.70,6,New Submission
Teenage Head,Somethin' On My Mind B/W Let's Shake,1980,Canada,"Vinyl, 7"", Single",Attic – AT 220,5.00,11,New Submission
H.M.K.*,Delirious,1977,UK,"Vinyl, 7"", 45 RPM, Single",RAK – RAK 262,9.45,15,New Submission
The Suicide Commandos,Mark He's A Terror,1977,US,"Vinyl, 7"", 45 RPM","P.S. Records – 30787, P.S. Records – 612-332-6675",8.03,26,Recently Edited
Two Saints,In Nomine Solis,1989,UK,"Vinyl, LP, Album",Shakin' Street Records – YEAH-HUP 004,4.02,23,
The Cortinas,Fascist Dictator / Television Families,1977,UK,"Vinyl, 7"", 45 RPM, Single",Step-Forward Records – 1,3.99,40,Recently Edited
The Killjoys,Studio Demos 18/10/1977,2002,Germany,"Vinyl, 7"", 33 ⅓ RPM, EP",Last Year's Youth Records – LAST 014,7.61,5,New Submission
The Dicks*,The Dicks Hate The Police,,,"Vinyl, 7"", 45 RPM, Reissue, Unofficial Release, White Label",Not On Label (Dicks) – none,,,New Submission
Pagans,Not Now No Way,2016,Italy,"Vinyl, 7"", Single, Reissue",Breakout Records (4) – BR008,,,Recently Edited
Government Warning,Arrested,2007,US,"Vinyl, 7"", 45 RPM, EP","Grave Mistake Records – GRAVE018, No.18",5.75,7,New Submission
The Unwanted,Withdrawal / 1984,1978,UK,"Vinyl, 12"", 45 RPM, Single, Reissue",Raw Records (2) – RAWT 6,14.08,7,New Submission
The Defects,Defective Breakdown,2012,UK,"Vinyl, LP, Picture Disc, Album, Reissue",Antisociety – ANTI 017,14.93,4,New Submission
Various,Flex Your Head,,US,"Vinyl, LP, Compilation, Reissue Blurry photo cover, $8.00 ppd",Dischord Records – Dischord 7,20.27,7,New Submission
Straitjacket (4) / Shock Nagasaki,Won't Say Sorry / Palisades & Renegades,2004,US,"Vinyl, 7""",TKO Records – TKO Round 141,4.60,2,New Submission
Various,Shutdown '66,1991,US,"Vinyl, LP, Compilation","Ernie Douglas Records – ERN-66, Ernie Douglas Records – ERNIE DOUGLAS 66",15.00,9,
Flux Of Pink Indians,Neu Smell,1981,UK,"Vinyl, 7"", 45 RPM, EP MPO Pressing",Crass Records – 321984/2,10.81,18,Recently Edited
Career Suicide,SARS EP,2003,Canada,"Vinyl, 7"", 45 RPM, EP",Deranged Records – DY 47,5.75,7,New Submission
Various,Back To Cleveland - Horsepower,2015,US,"2 x Vinyl, LP, Compilation, Limited Edition, Numbered, Unofficial Release Gatefold",RT956 Records – none,30.00,2,New Submission
The Neurotics*,Living With Unemployment,1986,UK,"Vinyl, 7"", Single",Jungle Records – JUNG 29,,,
The Nice Boys (2),Very Mary,2007,US,"Vinyl, 7"", 45 RPM","Dirtnap Records – RG-03, Green Noise Records – RG-03",3.45,7,New Submission
The Nice Boys (2),You Won't See Me Anymore,2004,US,"Vinyl, 7"", 45 RPM, Limited Edition, Numbered, Stereo Red Translucent",Discourage Records – DRR-001,20.00,2,New Submission
Beez*,Easy,2010,Japan,"Vinyl, 7"", 45 RPM, Reissue",1977 Records – 1977-S077,11.48,3,
